"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Afghanistan,308,291,6.0,8.0,5,6,-17,0.1,40483797
Albania,236,471,-50.0,82.0,2,0,200,0.7,2872219
Algeria,31,48,-35.0,0.7,0,0,0,0.0,45256195
Andorra,304,311,-2.0,3923.0,0,0,0,0.0,77484
Angola,0,56,-100.0,0.0,0,0,0,0.0,34679470
Anguilla,14,17,-18.0,919.0,0,0,0,0.0,15241
Antigua and Barbuda,30,2,1400.0,302.0,0,0,0,0.0,99368
Argentina,10877,13164,-17.0,237.0,162,136,19,4.0,45931949
Armenia,97,110,-12.0,33.0,2,8,-75,0.7,2973075
Aruba,138,122,13.0,1283.0,0,0,0,0.0,107571
Australia,367940,399137,-8.0,14138.0,174,181,-4,7.0,26025040
Austria,91463,142194,-36.0,10054.0,225,297,-24,25.0,9097621
Azerbaijan,186,289,-36.0,18.0,3,13,-77,0.3,10301401
Bahamas,52,56,-7.0,130.0,1,0,100,3.0,399914
Bahrain,3678,4497,-18.0,2036.0,1,2,-50,0.6,1806458
Bangladesh,264,435,-39.0,2.0,1,3,-67,0.0,167601817
Barbados,2376,1730,37.0,8250.0,4,1,300,14.0,288000
Belarus,4803,5702,-16.0,509.0,29,54,-46,3.0,9443805
Belgium,51192,85192,-40.0,4383.0,140,192,-27,12.0,11679161
Belize,0,65,-100.0,0.0,16,2,700,39.0,410437
Bermuda,147,108,36.0,2376.0,1,1,0,16.0,61870
Bhutan,11910,7270,64.0,15139.0,2,2,0,3.0,786689
Bolivia,872,1018,-14.0,73.0,2,3,-33,0.2,11955630
Bosnia and Herzegovina,415,627,-34.0,128.0,15,19,-21,5.0,3244598
Botswana,333,0,33300.0,137.0,2,0,200,0.8,2435878
Brazil,143800,157732,-9.0,668.0,966,1292,-25,4.0,215241599
British Virgin Islands,7,14,-50.0,229.0,0,0,0,0.0,30588
Brunei,2240,3840,-42.0,5035.0,2,8,-75,4.0,444915
