Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,imgURL
Aqua,"Parkstra횩e 1, Wolfsburg, 38440, Germany",Wolfsburg,225,225,EUR,"Creative, Modern Cuisine",10.789999,52.4331722,4.95362E+11,https://guide.michelin.com/en/niedersachsen/wolfsburg/restaurant/aqua79029,http://www.restaurant-aqua.com,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/91a2615a79a54511983161f2d9eb6692?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/d687f8db36db4ae4b1d97bd85c36bea8?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b5d8c13d068242c2a576d740ae58b76c?width=1000']"
The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany",Hamburg,230,230,EUR,Creative,10.0029797,53.5426229,4.94023E+11,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,http://www.the-table-hamburg.de/,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/0cb416918c1d490eb710f6189733d4a5?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7b12dd67fd944b32befbc91860c421f5?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b3a7c20b257f4e9fa35a35f320bd0450?width=1000']"
Restaurant 횥berfahrt Christian J체rgens,"횥berfahrtstra횩e 10, Rottach-Egern, 83700, Germany",Rottach-Egern,259,319,EUR,Creative,11.7582292,47.6966846,4980226690,https://guide.michelin.com/en/bayern/rottach-egern/restaurant/restaurant-uberfahrt-christian-jurgens,http://www.althoffcollection.com,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b5bbf84273884f1f84b23b4132fffe94?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7d5d8c5c78a7420eb6b4ed0fcc1f0e95?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/310a855bcde84fc68c7e43459015e256?width=1000']"
Victor's Fine Dining by christian bau,"Schlossstra횩e 27, Perl, 66706, Germany",Perl,205,295,EUR,Creative,6.3872109,49.5351732,49686679118,https://guide.michelin.com/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/eb0e9f93bcdc4131b1a71ea7ef9ed1fa?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/533b02bc2788436ba3bd7e6e8d2b8f82?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2f72428296d7485da6650b80339adabc?width=1000']"
Rutz,"Chausseestra횩e 8, Berlin, 10115, Germany",Berlin,198,245,EUR,"Modern Cuisine, Creative",13.3860867,52.5283507,4.93025E+11,https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz,https://www.rutz-restaurant.de/,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/03f8a20ade07493d9caac3ba428222c4?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/17256d1004714ac392a8fa5958aa50be?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/52884a6df628452bb1bbac8ab8ad9185?width=1000']"
Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany",Baiersbronn,150,335,EUR,Classic French,8.3269876,48.5205845,497442470,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,http://www.bareiss.com,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7afe390e702c4ff68e962580ee0f4a9d?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ba4526bb04fa49c0a00a4f6c931e8303?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7ca18877eda54aa88e689c7987aa55c1?width=1000']"
temporaire - Schwarzwaldstube,"Tonbachstra횩e 237, Baiersbronn, 72270, Germany",Baiersbronn,215,265,EUR,"Classic French, Creative",8.3590633,48.5361528,4974424920,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/temporaire-schwarzwaldstube,https://www.traube-tonbach.de/restaurants-bar/schwarzwaldstube/,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/70c829b419094f3a9849594173c82006?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c3babe9d02cb4e359ac7f89ed17b4e16?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/dec4a36078ce451186dd07d4a9e115b7?width=1000']"
schanz. restaurant.,"Bahnhofstra횩e 8a, Piesport, 54498, Germany",Piesport,115,178,EUR,"Modern French, Creative",6.9266002,49.8776003,49650792520,https://guide.michelin.com/en/rheinland-pfalz/piesport/restaurant/schanz-restaurant,http://www.schanz-restaurant.de,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b3f4ad5d8a8644e48355051f8ca7320b?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/6b798065e1404ad4ac5f62e28a845405?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/621e229864ac4a35a3313c7c49e8f23b?width=1000']"
Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany",Dreis,225,249,EUR,Classic French,6.8109342,49.9377323,49657898220,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,http://www.hotel-sonnora.de,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/fe93c655a69f41c886c0da9c090c1ee8?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2c73b344f3cc489f9a6a58e2c1693d6d?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/093b1f2dba504c199181cac196c8502d?width=1000']"
L'Enclume,"Cavendish Street, Cartmel, LA11 6PZ, United Kingdom",Cartmel,79,175,GBP,Creative,-2.9538566,54.2017254,4.4154E+11,https://guide.michelin.com/en/cumbria/cartmel/restaurant/l-enclume,http://www.lenclume.co.uk,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/560c3d4fc53642a3b73a6169cadcf10a?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f14441b7075b4c21bbef95e81af9102a?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/9a4629aee3a9450da55d2ce6bece8d14?width=1000']"
Fat Duck,"High Street, Bray, SL6 2AQ, United Kingdom",Bray,275,375,GBP,Creative,-0.7017529,51.5078582,4.41629E+11,https://guide.michelin.com/en/windsor-and-maidenhead/bray/restaurant/fat-duck,http://www.thefatduck.co.uk,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/dbe2ef87c7e44e8787df1f94f4a8f05d?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/32c8c98915654d4b9b8a4558d9684f76?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/fd5f7ed51300413e81fe6a85dc500bd9?width=1000']"
Waterside Inn,"Ferry Road, Bray, SL6 2AT, United Kingdom",Bray,170,188,GBP,Classic French,-0.6994376,51.5091092,4.41629E+11,https://guide.michelin.com/en/windsor-and-maidenhead/bray/restaurant/waterside-inn,http://www.waterside-inn.co.uk,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/32d402b8482f48dd887c094be6965b90?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/842ebbd81b4749578b92cebdc5b48131?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e4465bd9537c4a6a8ccf2ff92144a552?width=1000']"
Restaurant Gordon Ramsay,"68-69 Royal Hospital Road, London, SW3 4HP, United Kingdom",London,120,220,GBP,French,-0.1621766,51.4854381,4.42074E+11,https://guide.michelin.com/en/greater-london/london/restaurant/restaurant-gordon-ramsay,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,3 MICHELIN Stars,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/950210245fc0401a856f556519ba0a50?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/d93c5fedcfa0457e8a5cdd8bb6dd7710?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a8e5642abff64d74b1608f864798f5e4?width=1000']"
